instance_name,execution_time,result,ExpandedStates,UsedStates,ExpandedTransitions,UsedTransitions,Elapsed in Synthesis,findNewGoalsCalls,findNewErrorsCalls,propagateGoalsCalls,propagateErrorsCalls,maxMemoryUsed,heuristicTime,Composition time
sokoban-5-1_0obstacles_1,4.063618183135986,OK,1560,204,1689,209,3698,1,97,1,60,,0,98
sokoban-5-1_0obstacles_10,2.6121294498443604,OK,890,128,965,131,2255,1,56,1,33,,0,93
sokoban-5-1_0obstacles_2,6.577352523803711,OK,2112,118,2294,120,4592,1,138,1,70,,0,93
sokoban-5-1_0obstacles_3,1.217499017715454,OK,198,42,203,42,875,1,6,1,10,,0,89
sokoban-5-1_0obstacles_4,5.576277256011963,OK,2324,116,2521,118,5226,1,152,1,81,,0,91
sokoban-5-1_0obstacles_5,11.69999361038208,OK,4982,254,5521,263,11350,1,441,1,222,,0,88
sokoban-5-1_0obstacles_6,2.410388708114624,OK,768,194,834,200,2041,1,55,1,33,,0,102
sokoban-5-1_0obstacles_7,8.971445798873901,OK,4042,204,4450,207,8633,1,312,1,173,,0,92
sokoban-5-1_0obstacles_8,1.4907374382019043,OK,358,84,376,86,1132,1,15,1,13,,0,101
sokoban-5-1_0obstacles_9,2.4304275512695312,OK,802,72,861,72,2081,1,45,1,31,,0,90
sokoban-5-1_1obstacles_1,1.7696025371551514,OK,490,114,539,116,1426,1,40,1,24,,0,95
sokoban-5-1_1obstacles_10,6.62647008895874,OK,2996,86,3276,86,6290,1,220,1,118,,0,85
sokoban-5-1_1obstacles_2,7.890964508056641,OK,3364,172,3698,176,7535,1,281,1,157,,0,100
sokoban-5-1_1obstacles_3,4.325584411621094,OK,1748,96,1888,97,3978,1,109,1,61,,0,87
sokoban-5-1_1obstacles_4,1.0514030456542969,OK,114,40,119,40,696,1,4,1,6,,0,96
sokoban-5-1_1obstacles_5,1.6596884727478027,OK,408,72,445,72,1292,1,32,1,18,,0,100
sokoban-5-1_1obstacles_6,9.453232288360596,OK,4058,152,4466,154,9095,1,327,1,174,,0,98
sokoban-5-1_1obstacles_7,7.328688144683838,OK,3192,96,3502,96,6987,1,247,1,119,,0,97
sokoban-5-1_1obstacles_8,1.5335707664489746,OK,388,60,412,60,1197,1,20,1,18,,0,88
sokoban-5-1_1obstacles_9,1.0806710720062256,OK,156,50,166,50,744,1,9,1,7,,0,88
sokoban-5-1_2obstacles_1,0.9731400012969972,OK,86,30,88,30,628,1,2,1,6,,0,91
sokoban-5-1_2obstacles_10,4.503469228744507,OK,1784,204,1961,207,4166,1,165,1,108,,0,90
sokoban-5-1_2obstacles_2,5.055558443069458,OK,2066,94,2253,94,4702,1,147,1,85,,0,98
sokoban-5-1_2obstacles_3,1.6439945697784424,OK,422,128,461,132,1296,1,34,1,22,,0,90
sokoban-5-1_2obstacles_4,2.2511281967163086,OK,732,106,795,108,1901,1,50,1,32,,0,95
sokoban-5-1_2obstacles_5,1.2895750999450684,OK,249,84,271,86,952,1,19,1,13,,0,86
sokoban-5-1_2obstacles_6,4.333014011383057,OK,1659,242,1836,246,3980,1,159,1,98,,0,90
sokoban-5-1_2obstacles_7,4.015220642089844,OK,1544,116,1685,117,3677,1,119,1,67,,0,91
sokoban-5-1_2obstacles_8,1.0083942413330078,OK,112,40,116,40,679,1,3,1,7,,0,90
sokoban-5-1_2obstacles_9,4.401580095291138,OK,1699,104,1854,104,4059,1,131,1,85,,0,96
sokoban-5-1_3obstacles_1,16.05878782272339,OK,6936,0,7852,0,15704,0,917,0,636,,0,101
sokoban-5-1_3obstacles_10,1.857809066772461,OK,525,126,578,128,1526,1,49,1,42,,0,89
sokoban-5-1_3obstacles_2,1.9701488018035889,OK,599,94,660,94,1630,1,60,1,50,,0,95
sokoban-5-1_3obstacles_3,17.757981300354004,OK,7173,0,8144,0,17447,0,908,0,610,,0,90
sokoban-5-1_3obstacles_4,11.249898433685305,OK,4660,390,5258,400,10864,1,546,1,310,,0,91
sokoban-5-1_3obstacles_5,3.5370333194732666,OK,1303,198,1419,201,3167,1,102,1,85,,0,90
sokoban-5-1_3obstacles_6,1.5149385929107666,OK,356,104,394,106,1183,1,32,1,20,,0,86
sokoban-5-1_3obstacles_7,6.892712831497192,OK,2718,0,3092,0,6597,0,372,0,205,,0,95
sokoban-5-1_3obstacles_8,1.1433401107788086,OK,194,84,210,86,818,1,16,1,12,,0,86
sokoban-5-1_3obstacles_9,3.648275375366211,OK,1345,94,1476,94,3288,1,114,1,72,,0,109
sokoban-5-1_4obstacles_1,5.317628145217896,OK,2179,146,2395,147,4962,1,188,1,121,,0,103
sokoban-5-1_4obstacles_10,5.7489447593688965,OK,2363,168,2620,169,5393,1,251,1,172,,0,99
sokoban-5-1_4obstacles_2,6.783470153808594,OK,2932,0,3328,0,6477,0,385,0,275,,0,89
sokoban-5-1_4obstacles_3,8.745218276977539,OK,3838,0,4340,0,8440,0,519,0,357,,0,90
sokoban-5-1_4obstacles_4,3.9851598739624015,OK,1584,148,1774,148,3612,1,200,1,143,,0,110
sokoban-5-1_4obstacles_5,11.864407539367676,OK,5158,0,5840,0,11512,0,661,0,510,,0,102
sokoban-5-1_4obstacles_6,4.733958721160889,OK,1955,116,2156,116,4376,1,181,1,112,,0,98
sokoban-5-1_4obstacles_7,3.089937448501587,OK,1162,0,1318,0,2770,0,158,0,102,,0,97
sokoban-5-1_4obstacles_8,12.030978441238403,OK,4586,0,5179,0,11726,0,594,0,456,,0,85
sokoban-5-1_4obstacles_9,5.71616005897522,OK,2252,0,2555,0,5379,0,308,0,193,,0,118
