instance_name,execution_time,result,ExpandedStates,UsedStates,ExpandedTransitions,UsedTransitions,Elapsed in Synthesis,findNewGoalsCalls,findNewErrorsCalls,propagateGoalsCalls,propagateErrorsCalls,maxMemoryUsed,heuristicTime,Composition time
sokoban-6-1_0obstacles_1,43.02209043502808,OK,9168,288,10237,292,42583,1,815,1,316,,0,135
sokoban-6-1_0obstacles_10,9.753493785858154,OK,2054,94,2224,94,9346,1,132,1,58,,0,136
sokoban-6-1_0obstacles_2,81.82722067832947,OK,14030,258,15855,260,81395,1,1443,1,553,,0,115
sokoban-6-1_0obstacles_3,8.989782571792603,OK,1890,94,2052,94,8580,1,117,1,54,,0,115
sokoban-6-1_0obstacles_4,11.635045766830444,OK,2502,128,2722,130,11242,1,159,1,63,,0,130
sokoban-6-1_0obstacles_5,9.09703493118286,OK,1888,158,2074,160,8716,1,143,1,61,,0,121
sokoban-6-1_0obstacles_6,5.831335067749023,OK,1144,202,1240,207,5450,1,71,1,31,,0,116
sokoban-6-1_0obstacles_7,5.403261184692383,OK,1004,126,1095,128,5019,1,69,1,33,,0,122
sokoban-6-1_0obstacles_8,20.29665946960449,OK,4482,118,4906,119,19874,1,297,1,112,,0,123
sokoban-6-1_0obstacles_9,9.541724920272827,OK,1970,256,2155,262,9144,1,131,1,50,,0,127
sokoban-6-1_1obstacles_1,58.65292286872864,OK,11550,142,12960,142,58222,1,1094,1,429,,0,118
sokoban-6-1_1obstacles_10,3.380876302719116,OK,514,232,581,243,2988,1,54,1,20,,0,122
sokoban-6-1_1obstacles_2,22.4545636177063,OK,4972,346,5466,353,22046,1,353,1,173,,0,115
sokoban-6-1_1obstacles_3,9.429094314575195,OK,2054,94,2224,94,9038,1,132,1,58,,0,126
sokoban-6-1_1obstacles_4,46.657981634140015,OK,9732,198,10880,201,46233,1,873,1,357,,0,120
sokoban-6-1_1obstacles_5,11.196082592010498,OK,2418,182,2635,186,10801,1,155,1,66,,0,118
sokoban-6-1_1obstacles_6,10.05924654006958,OK,2140,94,2322,94,9675,1,141,1,60,,0,119
sokoban-6-1_1obstacles_7,2.313477039337158,OK,256,60,278,60,1919,1,18,1,10,,0,122
sokoban-6-1_1obstacles_8,11.195542335510254,OK,2326,128,2535,130,10778,1,153,1,59,,0,125
sokoban-6-1_1obstacles_9,50.15246748924256,OK,10142,262,11336,267,49718,1,913,1,374,,0,131
sokoban-6-1_2obstacles_1,16.42515516281128,OK,3577,130,3981,130,16026,1,349,1,188,,0,124
sokoban-6-1_2obstacles_10,8.493046283721924,OK,1747,140,1920,141,8099,1,154,1,88,,0,121
sokoban-6-1_2obstacles_2,21.54784107208252,OK,4898,178,5420,179,21112,1,414,1,209,,0,132
sokoban-6-1_2obstacles_3,69.26176619529724,OK,13508,268,15316,271,68825,1,1590,1,768,,0,122
sokoban-6-1_2obstacles_4,25.31216740608216,OK,5420,324,6037,332,24885,1,503,1,232,,0,124
sokoban-6-1_2obstacles_5,8.860298871994019,OK,1838,138,2030,140,8449,1,143,1,67,,0,140
sokoban-6-1_2obstacles_6,3.807812452316284,OK,618,218,690,227,3394,1,59,1,28,,0,112
sokoban-6-1_2obstacles_7,24.61196613311768,OK,5459,248,6041,251,24186,1,454,1,207,,0,121
sokoban-6-1_2obstacles_8,35.884347677230835,OK,7614,184,8510,185,35440,1,753,1,403,,0,126
sokoban-6-1_2obstacles_9,9.858497142791748,OK,2116,124,2292,125,9465,1,140,1,75,,0,123
sokoban-6-1_3obstacles_1,7.394977807998657,OK,1532,146,1686,148,6998,1,125,1,73,,0,133
sokoban-6-1_3obstacles_10,7.436355352401733,OK,1502,104,1645,104,7046,1,117,1,75,,0,126
sokoban-6-1_3obstacles_2,4.41979455947876,OK,691,84,749,84,4026,1,44,1,22,,0,120
sokoban-6-1_3obstacles_3,14.177274227142334,OK,3063,170,3392,171,13771,1,291,1,172,,0,124
sokoban-6-1_3obstacles_4,60.56381058692932,OK,12037,270,13667,275,60121,1,1398,1,638,,0,125
sokoban-6-1_3obstacles_5,33.82144856452942,OK,7369,190,8245,191,33391,1,747,1,374,,0,117
sokoban-6-1_3obstacles_6,2.401564836502075,OK,296,86,323,88,2010,1,23,1,14,,0,127
sokoban-6-1_3obstacles_7,8.570661306381226,OK,1856,292,2047,301,8172,1,154,1,87,,0,127
sokoban-6-1_3obstacles_8,16.643293142318726,OK,3568,192,3940,193,16237,1,303,1,155,,0,118
sokoban-6-1_3obstacles_9,3.5188825130462646,OK,562,114,619,116,3118,1,46,1,26,,0,123
sokoban-6-1_4obstacles_1,32.92536735534668,OK,7037,266,7917,269,32485,1,846,1,475,,0,123
sokoban-6-1_4obstacles_10,9.051288604736328,OK,1887,134,2096,135,8664,1,185,1,111,,0,129
sokoban-6-1_4obstacles_2,6.491450309753418,OK,1175,76,1259,76,6108,1,66,1,44,,0,121
sokoban-6-1_4obstacles_3,24.161088943481445,OK,5199,210,5823,211,23753,1,567,1,303,,0,116
sokoban-6-1_4obstacles_4,37.68721079826355,OK,7967,384,8964,390,37259,1,887,1,473,,0,122
