instance_name,execution_time,result,ExpandedStates,UsedStates,ExpandedTransitions,UsedTransitions,Elapsed in Synthesis,findNewGoalsCalls,findNewErrorsCalls,propagateGoalsCalls,propagateErrorsCalls,maxMemoryUsed,heuristicTime,Composition time
sokoban-6-1_0obstacles_1,11.299646377563477,OK,11419,270,12898,273,10883,1,956,1,440,,0,127
sokoban-6-1_0obstacles_10,1.4757351875305176,OK,2997,94,3310,94,1090,1,197,1,101,,0,120
sokoban-6-1_0obstacles_2,25.922929763793945,OK,15956,154,18159,154,25472,1,1472,1,663,,0,128
sokoban-6-1_0obstacles_3,1.443305730819702,OK,2998,118,3303,120,1054,1,193,1,101,,0,128
sokoban-6-1_0obstacles_4,1.4613120555877686,OK,3295,140,3634,143,1091,1,216,1,102,,0,117
sokoban-6-1_0obstacles_5,1.3133063316345217,OK,2518,230,2777,238,939,1,166,1,98,,0,117
sokoban-6-1_0obstacles_6,1.2061784267425537,OK,1781,128,1957,131,809,1,110,1,48,,0,113
sokoban-6-1_0obstacles_7,1.0714502334594729,OK,1571,248,1741,256,703,1,111,1,54,,0,117
sokoban-6-1_0obstacles_8,2.681666374206543,OK,5868,130,6522,132,2302,1,407,1,196,,0,120
sokoban-6-1_0obstacles_9,1.5406639575958252,OK,3258,116,3578,117,1178,1,203,1,102,,0,118
sokoban-6-1_1obstacles_1,17.997841358184814,OK,13760,666,15587,678,17557,1,1207,1,561,,0,115
sokoban-6-1_1obstacles_10,0.8397140502929688,OK,536,198,608,207,466,1,50,1,21,,0,126
sokoban-6-1_1obstacles_2,3.1644153594970703,OK,6395,128,7160,128,2762,1,485,1,235,,0,121
sokoban-6-1_1obstacles_3,1.4300367832183838,OK,2997,94,3310,94,1061,1,197,1,101,,0,119
sokoban-6-1_1obstacles_4,11.530985355377195,OK,11974,330,13519,335,11113,1,1006,1,463,,0,120
sokoban-6-1_1obstacles_5,1.4676175117492676,OK,3122,230,3449,238,1078,1,210,1,108,,0,123
sokoban-6-1_1obstacles_6,1.4340269565582275,OK,2959,118,3247,120,1069,1,183,1,101,,0,112
sokoban-6-1_1obstacles_7,0.7174780368804932,OK,346,140,376,145,363,1,20,1,15,,0,116
sokoban-6-1_1obstacles_8,1.6271684169769287,OK,3326,152,3682,156,1250,1,226,1,102,,0,116
sokoban-6-1_1obstacles_9,12.468575716018677,OK,12393,444,13989,458,12051,1,1040,1,476,,0,116
sokoban-6-1_2obstacles_1,2.4380407333374023,OK,4316,226,4831,229,2020,1,382,1,229,,0,123
sokoban-6-1_2obstacles_10,1.4035847187042236,OK,2327,198,2576,203,972,1,184,1,119,,0,127
sokoban-6-1_2obstacles_2,2.717028379440308,OK,6078,336,6797,343,2319,1,510,1,264,,0,127
sokoban-6-1_2obstacles_3,16.512434720993042,OK,14440,510,16431,520,16060,1,1475,1,842,,0,117
sokoban-6-1_2obstacles_4,3.8776819705963135,OK,7094,342,7927,349,3486,1,587,1,300,,0,117
sokoban-6-1_2obstacles_5,1.337946891784668,OK,2505,126,2787,127,952,1,200,1,110,,0,125
sokoban-6-1_2obstacles_6,0.9456658363342284,OK,807,194,893,201,566,1,61,1,32,,0,123
sokoban-6-1_2obstacles_7,4.128957986831665,OK,7038,234,7925,237,3584,1,605,1,293,,0,127
sokoban-6-1_2obstacles_8,6.98265266418457,OK,8856,356,9966,363,6557,1,815,1,485,,0,121
sokoban-6-1_2obstacles_9,1.7259278297424316,OK,3357,294,3661,305,1347,1,195,1,127,,0,115
sokoban-6-1_3obstacles_1,1.2045018672943115,OK,1941,188,2132,191,800,1,138,1,90,,0,117
sokoban-6-1_3obstacles_10,1.1508188247680664,OK,1874,104,2074,104,769,1,152,1,101,,0,121
sokoban-6-1_3obstacles_2,1.0029971599578855,OK,1086,96,1200,97,632,1,80,1,36,,0,117
sokoban-6-1_3obstacles_3,1.9481728076934808,OK,3944,258,4429,263,1553,1,373,1,219,,0,125
sokoban-6-1_3obstacles_4,14.494261741638184,OK,13055,458,14881,470,14061,1,1387,1,665,,0,131
sokoban-6-1_3obstacles_5,6.52341103553772,OK,8989,446,10168,456,6116,1,882,1,474,,0,121
sokoban-6-1_3obstacles_6,0.7738730907440186,OK,398,86,441,88,407,1,32,1,21,,0,115
sokoban-6-1_3obstacles_7,1.199594259262085,OK,2398,148,2649,150,818,1,185,1,102,,0,110
sokoban-6-1_3obstacles_8,2.5225670337677,OK,5092,116,5672,116,2122,1,432,1,230,,0,122
sokoban-6-1_3obstacles_9,0.927492380142212,OK,802,174,874,181,562,1,58,1,33,,0,117
sokoban-6-1_4obstacles_1,4.208249807357788,OK,7754,412,8755,423,3780,1,817,1,523,,0,128
sokoban-6-1_4obstacles_10,1.3605611324310305,OK,2384,146,2669,148,989,1,231,1,142,,0,114
sokoban-6-1_4obstacles_2,1.0499413013458252,OK,1780,76,1940,76,684,1,108,1,61,,0,130
sokoban-6-1_4obstacles_3,3.5133962631225586,OK,6238,198,7002,200,3122,1,610,1,356,,0,122
sokoban-6-1_4obstacles_4,7.304919719696045,OK,9072,288,10293,290,6880,1,967,1,525,,0,121
sokoban-6-1_4obstacles_5,4.958433628082275,OK,8148,494,9165,505,4549,1,820,1,491,,0,117
sokoban-6-1_4obstacles_6,4.08986496925354,OK,6840,236,7718,239,3689,1,697,1,377,,0,124
sokoban-6-1_4obstacles_7,1.063427209854126,OK,1277,148,1397,151,703,1,98,1,63,,0,121
sokoban-6-1_4obstacles_8,0.596531867980957,OK,18,0,19,0,272,0,2,0,4,,0,116
sokoban-6-1_4obstacles_9,2.2039146423339844,OK,4348,302,4865,309,1789,1,413,1,208,,0,139
