Model,Scenario,instance_name,execution_time,result,ExpandedStates,UsedStates,ExpandedTransitions,UsedTransitions,Elapsed in Synthesis,findNewGoalsCalls,findNewErrorsCalls,propagateGoalsCalls,propagateErrorsCalls,maxMemoryUsed,heuristicTime,Composition time
DQN Agent 400e,0obstacles_1,sokoban-7-1_0obstacles_1,1.677384376525879,OK,4977,54,5475,54,1248,1,361,1,164,,0,149
DQN Agent 1000e,0obstacles_1,sokoban-7-1_0obstacles_1,8.4110267162323,OK,11114,298,12663,298,7948,1,1617,1,420,,0,143
Previous RL,0obstacles_1,sokoban-7-1_0obstacles_1,2.110971450805664,OK,797,54,855,54,509,1,36,1,35,,0,171
DQN Agent 400e,0obstacles_10,sokoban-7-1_0obstacles_10,1.6623458862304688,OK,3960,410,4352,421,1223,1,385,1,146,,0,159
DQN Agent 1000e,0obstacles_10,sokoban-7-1_0obstacles_10,69.23731732368469,OK,28915,232,32932,232,68743,1,4114,1,1074,,0,160
Previous RL,0obstacles_10,sokoban-7-1_0obstacles_10,0.9649522304534912,OK,700,196,799,204,533,1,69,1,23,,0,150
DQN Agent 400e,0obstacles_2,sokoban-7-1_0obstacles_2,8.043449401855469,OK,12482,160,13956,165,7566,1,1497,1,458,,0,162
DQN Agent 1000e,0obstacles_2,sokoban-7-1_0obstacles_2,6.30122709274292,OK,9227,370,10471,371,5839,1,1263,1,342,,0,152
Previous RL,0obstacles_2,sokoban-7-1_0obstacles_2,1.042360544204712,OK,1064,148,1166,152,613,1,68,1,29,,0,151
DQN Agent 400e,0obstacles_3,sokoban-7-1_0obstacles_3,5.88472580909729,OK,11876,336,13181,341,5242,1,1283,1,455,,0,178
DQN Agent 1000e,0obstacles_3,sokoban-7-1_0obstacles_3,13.543452262878418,OK,10959,328,12404,332,13061,1,1468,1,405,,0,163
Previous RL,0obstacles_3,sokoban-7-1_0obstacles_3,18.76344895362854,OK,14552,506,16428,520,18279,1,1192,1,426,,0,160
DQN Agent 400e,0obstacles_4,sokoban-7-1_0obstacles_4,6.853687763214111,OK,11025,458,12328,474,6418,1,1334,1,404,,0,149
DQN Agent 1000e,0obstacles_4,sokoban-7-1_0obstacles_4,16.43645215034485,OK,11689,416,13197,419,15325,1,1507,1,429,,0,185
Previous RL,0obstacles_4,sokoban-7-1_0obstacles_4,7.444768667221069,OK,10193,290,11447,295,6974,1,811,1,320,,0,162
DQN Agent 400e,0obstacles_5,sokoban-7-1_0obstacles_5,1.4940142631530762,OK,4763,106,5161,106,1032,1,339,1,178,,0,165
