instance_name,execution_time,result,ExpandedStates,UsedStates,ExpandedTransitions,UsedTransitions,Elapsed in Synthesis,findNewGoalsCalls,findNewErrorsCalls,propagateGoalsCalls,propagateErrorsCalls,maxMemoryUsed,heuristicTime,Composition time
sokoban-4-1_0obstacles_1,0.7093384265899658,OK,1850,116,2034,118,452,1,226,1,130,,0,71
sokoban-4-1_0obstacles_10,0.8993072509765625,OK,2653,158,2912,161,612,1,315,1,183,,0,71
sokoban-4-1_0obstacles_2,1.0440704822540283,OK,2336,210,2551,213,744,1,274,1,156,,0,66
sokoban-4-1_0obstacles_3,0.7332754135131836,OK,846,96,899,96,435,1,66,1,52,,0,83
sokoban-4-1_0obstacles_4,0.9213011264801024,OK,2708,170,2969,173,639,1,317,1,185,,0,68
sokoban-4-1_0obstacles_5,0.5407211780548096,OK,347,40,371,40,270,1,27,1,20,,0,74
sokoban-4-1_0obstacles_6,1.5749790668487549,OK,3437,170,3780,173,855,1,424,1,239,,0,71
sokoban-4-1_0obstacles_7,0.6376383304595947,OK,607,126,642,127,375,1,45,1,39,,0,69
sokoban-4-1_0obstacles_8,0.6073951721191406,OK,696,138,731,138,321,1,46,1,44,,0,73
sokoban-4-1_0obstacles_9,0.6379902362823486,OK,502,126,525,126,326,1,28,1,31,,0,69
sokoban-4-1_1obstacles_1,0.5338761806488037,OK,763,74,812,76,277,1,74,1,58,,0,68
sokoban-4-1_1obstacles_10,0.7994625568389893,OK,2706,92,2957,92,531,1,312,1,187,,0,66
sokoban-4-1_1obstacles_2,0.558830976486206,OK,683,126,718,126,298,1,46,1,44,,0,68
sokoban-4-1_1obstacles_3,0.4697892665863037,OK,88,40,91,40,204,1,3,1,3,,0,73
sokoban-4-1_1obstacles_4,0.5262258052825928,OK,437,94,458,94,260,1,25,1,29,,0,68
sokoban-4-1_1obstacles_5,0.8740150928497314,OK,2708,170,2969,173,589,1,317,1,185,,0,73
sokoban-4-1_1obstacles_6,0.4914724826812744,OK,183,62,187,62,229,1,4,1,9,,0,69
sokoban-4-1_1obstacles_7,0.976607084274292,OK,3236,190,3562,193,702,1,398,1,225,,0,68
sokoban-4-1_1obstacles_8,0.5162653923034668,OK,569,52,605,52,267,1,41,1,33,,0,63
sokoban-4-1_1obstacles_9,2.966841220855713,OK,3445,156,3790,156,2638,1,419,1,239,,0,81
sokoban-4-1_2obstacles_1,1.0795035362243652,OK,2290,122,2541,122,731,1,346,1,227,,0,78
sokoban-4-1_2obstacles_10,0.9886012077331544,OK,2608,94,2883,95,696,1,356,1,187,,0,72
sokoban-4-1_2obstacles_2,0.9077541828155518,OK,1718,0,1921,0,622,0,248,0,172,,0,68
sokoban-4-1_2obstacles_3,0.751234769821167,OK,754,100,827,100,438,1,98,1,62,,0,77
sokoban-4-1_2obstacles_4,0.6240174770355225,OK,337,72,355,72,317,1,22,1,24,,0,75
sokoban-4-1_2obstacles_5,0.921983003616333,OK,2405,62,2649,62,613,1,335,1,179,,0,70
sokoban-4-1_2obstacles_6,0.8255295753479004,OK,1268,0,1428,0,543,0,184,0,109,,0,68
sokoban-4-1_2obstacles_7,1.076756238937378,OK,2152,82,2387,82,762,1,313,1,213,,0,64
sokoban-4-1_2obstacles_8,2.687826633453369,OK,2626,124,2902,124,750,1,322,1,196,,0,75
sokoban-4-1_2obstacles_9,0.6329553127288818,OK,210,82,221,82,287,1,12,1,11,,0,79
sokoban-4-1_3obstacles_1,0.7432694435119629,OK,1018,230,1140,232,433,1,161,1,103,,0,69
sokoban-4-1_3obstacles_10,0.7445924282073975,OK,1101,50,1199,50,436,1,137,1,89,,0,71
sokoban-4-1_3obstacles_2,0.8269426822662354,OK,1596,0,1774,0,549,0,251,0,188,,0,76
sokoban-4-1_3obstacles_3,0.6169390678405762,OK,557,0,621,0,355,0,81,0,65,,0,73
sokoban-4-1_3obstacles_4,0.772162675857544,OK,880,72,980,72,444,1,133,1,87,,0,70
sokoban-4-1_3obstacles_5,0.5937731266021729,OK,154,42,157,42,305,1,4,1,8,,0,69
sokoban-4-1_3obstacles_6,0.6820006370544434,OK,507,144,562,145,391,1,79,1,52,,0,69
sokoban-4-1_3obstacles_7,0.7652614116668701,OK,548,42,575,42,442,1,26,1,30,,0,73
sokoban-4-1_3obstacles_8,0.5519189834594727,OK,203,0,227,0,312,0,30,0,21,,0,66
sokoban-4-1_3obstacles_9,0.7421998977661133,OK,676,62,732,62,343,1,78,1,58,,0,69
sokoban-4-1_4obstacles_1,0.6198561191558838,OK,18,0,19,0,381,0,2,0,4,,0,69
sokoban-4-1_4obstacles_10,0.7124888896942139,OK,459,0,513,0,414,0,65,0,52,,0,64
sokoban-4-1_4obstacles_2,0.8365209102630615,OK,1649,144,1855,145,550,1,276,1,155,,0,68
sokoban-4-1_4obstacles_3,0.578059196472168,OK,188,0,207,0,331,0,27,0,24,,0,74
sokoban-4-1_4obstacles_4,0.8052959442138672,OK,1086,0,1217,0,521,0,167,0,116,,0,78
sokoban-4-1_4obstacles_5,0.5868511199951172,OK,412,0,460,0,344,0,66,0,44,,0,70
sokoban-4-1_4obstacles_6,0.561521053314209,OK,188,0,210,0,318,0,33,0,23,,0,70
sokoban-4-1_4obstacles_7,0.7203967571258545,OK,910,0,1017,0,458,0,154,0,99,,0,71
sokoban-4-1_4obstacles_8,0.5491468906402588,OK,228,0,257,0,299,0,41,0,25,,0,72
sokoban-4-1_4obstacles_9,0.48037171363830566,OK,18,0,19,0,245,0,2,0,4,,0,68
