state,action,successor,state_rank,successor_rank,abstract_state,abstract_successor,state_comp_states,successor_comp_states,component_names,is_controllable_action,action_has_index,successor_is_deadlock,successor_is_error,is_uncontrollable_state,is_uncontrollable_successor
0,startSafeCheck,1,"[[assume:1, value:61]]","[[assume:1, value:60]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_Dispatcher, 0:Piece_Piece-Pos.1.1--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IllegalPosition, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_SafeChecking, 0:Piece_Piece-Pos.1.1--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckPiece.0-CheckTwoPieces.0.1, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IllegalPosition, Win_no_asterisk_s0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 1, 0, 0, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",true,false,false,false,false,false
1,0.getPos.1.1,2,"[[assume:1, value:60]]","[[assume:1, value:59]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_SafeChecking, 0:Piece_Piece-Pos.1.1--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckPiece.0-CheckTwoPieces.0.1, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IllegalPosition, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_SafeChecking, 0:Piece_Piece-Pos.1.1--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckTwoPieces.0.0, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IllegalPosition, Win_no_asterisk_s0]","[0, 1, 0, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 19, 0, 0, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",true,true,false,false,false,false
2,1.getPos.2.2,3,"[[assume:1, value:59]]","[[assume:1, value:58]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_SafeChecking, 0:Piece_Piece-Pos.1.1--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckTwoPieces.0.0, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IllegalPosition, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_SafeChecking, 0:Piece_Piece-Pos.1.1--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckTwoPieces.1.0, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IllegalPosition, Win_no_asterisk_s0]","[0, 1, 0, 0, 19, 0, 0, 0]","[0, 1, 0, 0, 3, 0, 0, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",true,true,false,false,false,false
3,checkSafeOk,4,"[[assume:1, value:58]]","[[assume:1, value:57]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_SafeChecking, 0:Piece_Piece-Pos.1.1--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckTwoPieces.1.0, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IllegalPosition, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_LiveChecking, 0:Piece_Piece-Pos.1.1--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IllegalPosition, Win_no_asterisk_s0]","[0, 1, 0, 0, 3, 0, 0, 0]","[0, 2, 0, 0, 0, 0, 0, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",true,false,false,false,false,false
4,startLiveCheck,5,"[[assume:1, value:57]]","[[assume:1, value:56]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_LiveChecking, 0:Piece_Piece-Pos.1.1--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IllegalPosition, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_Play, 0:Piece_Piece-Pos.1.1--, CheckLive_CheckWinPos.1, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckWinPos.1, IllegalPosition_IllegalPosition, Win_no_asterisk_s0]","[0, 2, 0, 0, 0, 0, 0, 0]","[0, 3, 0, 1, 0, 1, 0, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",true,false,false,false,false,false
5,1.getPos.2.2,6,"[[assume:1, value:56]]","[[assume:1, value:55]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_Play, 0:Piece_Piece-Pos.1.1--, CheckLive_CheckWinPos.1, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckWinPos.1, IllegalPosition_IllegalPosition, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_Play, 0:Piece_Piece-Pos.1.1--, CheckLive_CheckWinPos.2-Win, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckWinPos.2-Win, IllegalPosition_IllegalPosition, Win_no_asterisk_s0]","[0, 3, 0, 1, 0, 1, 0, 0]","[0, 3, 0, 2, 0, 2, 0, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",true,true,false,false,false,false
6,checkLiveDone,7,"[[assume:1, value:55]]","[[assume:1, value:54]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_Play, 0:Piece_Piece-Pos.1.1--, CheckLive_CheckWinPos.2-Win, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckWinPos.2-Win, IllegalPosition_IllegalPosition, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_SafeChecking, 0:Piece_Piece-Pos.1.1--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IllegalPosition, Win_no_asterisk_s0]","[0, 3, 0, 2, 0, 2, 0, 0]","[0, 4, 0, 0, 0, 0, 0, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",true,false,false,false,false,false
7,left,27,"[[assume:1, value:54]]","[[assume:1, value:2949]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_SafeChecking, 0:Piece_Piece-Pos.1.1--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IllegalPosition, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_Play, 0:Piece_Piece-Pos.1.1--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IllegalPosition, Win_no_asterisk_s0]","[0, 4, 0, 0, 0, 0, 0, 0]","[0, 38, 0, 0, 0, 0, 0, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",true,false,false,false,false,false
7,up,29,"[[assume:1, value:54]]","[[assume:1, value:2949]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_SafeChecking, 0:Piece_Piece-Pos.1.1--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IllegalPosition, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_Play, 0:Piece_Piece-Pos.1.1--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IllegalPosition, Win_no_asterisk_s0]","[0, 4, 0, 0, 0, 0, 0, 0]","[0, 71, 0, 0, 0, 0, 0, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",true,false,false,false,false,false
7,right,8,"[[assume:1, value:54]]","[[assume:1, value:2949]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_SafeChecking, 0:Piece_Piece-Pos.1.1--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IllegalPosition, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_Play, 0:Piece_Piece-Pos.1.1--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IllegalPosition, Win_no_asterisk_s0]","[0, 4, 0, 0, 0, 0, 0, 0]","[0, 5, 0, 0, 0, 0, 0, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",true,false,false,false,false,false
7,down,31,"[[assume:1, value:54]]","[[assume:1, value:53]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_SafeChecking, 0:Piece_Piece-Pos.1.1--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IllegalPosition, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_Play, 0:Piece_Piece-Pos.1.1--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IllegalPosition, Win_no_asterisk_s0]","[0, 4, 0, 0, 0, 0, 0, 0]","[0, 104, 0, 0, 0, 0, 0, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",true,false,false,false,false,false
8,0.getPos.1.1,9,"[[assume:1, value:2949]]","[[assume:1, value:2949]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_Play, 0:Piece_Piece-Pos.1.1--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IllegalPosition, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_Play, 0:Piece_Piece-Pos.1.1--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IllegalPosition, Win_no_asterisk_s0]","[0, 5, 0, 0, 0, 0, 0, 0]","[0, 35, 0, 0, 0, 0, 0, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",true,true,false,false,false,false
9,0.setPos.1.2,10,"[[assume:1, value:2949]]","[[assume:1, value:2949]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_Play, 0:Piece_Piece-Pos.1.1--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IllegalPosition, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_Dispatcher, 0:Piece_Pos.3.2--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IP, Win_no_asterisk_s0]","[0, 35, 0, 0, 0, 0, 0, 0]","[0, 0, 9, 0, 0, 0, 1, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",true,true,false,false,false,true
10,startSafeCheck,11,"[[assume:1, value:2949]]","[[assume:1, value:2949]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_Dispatcher, 0:Piece_Pos.3.2--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IP, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_SafeChecking, 0:Piece_Pos.3.2--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckPiece.0-CheckTwoPieces.0.1, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IP, Win_no_asterisk_s0]","[0, 0, 9, 0, 0, 0, 1, 0]","[0, 1, 9, 0, 1, 0, 1, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",true,false,false,false,true,true
10,illegalPosition,10,"[[assume:1, value:2949]]","[[assume:1, value:2949]]","[1:Piece_Piece-Pos.2.2--, Dispatcher_Dispatcher, 0:Piece_Pos.3.2--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IP, Win_no_asterisk_s0]","[1:Piece_Piece-Pos.2.2--, Dispatcher_Dispatcher, 0:Piece_Pos.3.2--, CheckLive_CheckLive-NotLiveChecking, CheckSafe_CheckSafe-NotSafeChecking, CheckLive_CheckLive-NotLiveChecking, IllegalPosition_IP, Win_no_asterisk_s0]","[0, 0, 9, 0, 0, 0, 1, 0]","[0, 0, 9, 0, 0, 0, 1, 0]","B1,Dispatcher,Player,CheckLive,CheckSafe,CheckLive,IllegalPosition,Win_no_asterisk",false,false,false,false,true,true
